0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:18 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-7 HTTP/1.1" 200 5287
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:34 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:34 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5967
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:39 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-10 HTTP/1.1" 200 5285
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:58 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:58 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5970
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:40:02 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-10 HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:40:04 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:40:04 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5970
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:40:05 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-1 HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:40:16 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:40:16 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5973
